,Artikal,Datum,Tip dok.,Unnamed: 3,Broj dok.,Poslovni partner,Adresa,Poštanski broj,Unnamed: 8,Mjesto,Unnamed: 10,Količina,Iznos prije rabata,Regija,Unnamed: 12,Partner šifra,Unnamed: 9,Unnamed: 11,Unnamed: 13,Unnamed: 7,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 6
34,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,4. 2. 2022.,OTP,,2022.0,LUPRIV PHARM Mostar,Rodočkih branitelja bb,88000.0,,MOSTAR,,5.0,61.85,07 - Hercegovačko-Neretvanski kanton,,,,,,,,,,
35,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,4. 2. 2022.,OTP,,2032.0,LUPRIV PLUS Mostar ogr.Prozor-Rama,Kralja Tomislava bb.,88440.0,,PROZOR-RAMA,,5.0,61.85,07 - Hercegovačko-Neretvanski kanton,,,,,,,,,,
38,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,1. 2. 2022.,OTP,,1854.0,Z.U. LJEKARNE ČOLAK Široki Brijeg-ogr.1,dr.Jure Grubišića 9,88220.0,,ŠIROKI BRIJEG,,12.0,148.44,08 - Zapadnohercegovački kanton,,,,,,,,,,
41,Dorzol 20mg/ml kapi za oči 5ml,4. 2. 2022.,OTP,,2000.0,"PZU ""AL-HANA""",Patke br.2,71000.0,,SARAJEVO,,5.0,51.1,09 - Sarajevski Kanton,,,,,,,,,,
42,Dorzol 20mg/ml kapi za oči 5ml,2. 2. 2022.,OTP,,1886.0,"TUZLA-FARM d.o.o. PJ. ""Sarajevofarm""",Hasana Merdžanovića bb Nova industrijska zona,71320.0,,VOGOŠĆA,,10.0,102.2,09 - Sarajevski Kanton,,,,,,,,,,
43,Dorzol 20mg/ml kapi za oči 5ml,4. 2. 2022.,OTP,,2008.0,"Z.U.Eurovita Pharmacia-Ogranak""Alipašino Polje""","Trg solidarnosti br.35, Novi Grad",71000.0,,SARAJEVO,,2.0,20.44,09 - Sarajevski Kanton,,,,,,,,,,
44,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,2. 2. 2022.,OTP,,1886.0,"TUZLA-FARM d.o.o. PJ. ""Sarajevofarm""",Hasana Merdžanovića bb Nova industrijska zona,71320.0,,VOGOŠĆA,,30.0,371.1,09 - Sarajevski Kanton,,,,,,,,,,
45,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,4. 2. 2022.,OTP,,2008.0,"Z.U.Eurovita Pharmacia-Ogranak""Alipašino Polje""","Trg solidarnosti br.35, Novi Grad",71000.0,,SARAJEVO,,2.0,23.04,09 - Sarajevski Kanton,,,,,,,,,,
46,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,4. 2. 2022.,OTP,,1985.0,"Apoteka  ""VITA"" Kiseljak ogranak br.4",Maršala Tita 44,71000.0,,SARAJEVO,,2.0,24.74,09 - Sarajevski Kanton,,,,,,,,,,
49,Dorzol 20mg/ml kapi za oči 5ml,1. 2. 2022.,OTP,,1833.0,IBN-SINA PZU Ogranak 23 Gornji Rahić Brčko distrikt (A24),Gornji Rahić bb,76000.0,,BRČKO,,6.0,61.32,11 - Brčko Distrikt,,,,,,,,,,
50,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,1. 2. 2022.,OTP,,1833.0,IBN-SINA PZU Ogranak 23 Gornji Rahić Brčko distrikt (A24),Gornji Rahić bb,76000.0,,BRČKO,,3.0,37.11,11 - Brčko Distrikt,,,,,,,,,,
51,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,1. 2. 2022.,OTP,,1838.0,"IBN-SINA PZU Ogranak 27, Apoteka Brčko distrikt (A29)","ul. Dr.Sakiba Edhemovića br.1, Brčko Distrikt BiH",76000.0,,BRČKO,,10.0,123.7,11 - Brčko Distrikt,,,,,,,,,,
52,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,1. 2. 2022.,OTP,,1797.0,ZU Apoteka HERBAFARM Brčko,Kantardžića br.33,76205.0,,BRČKO DISTRIKT,,5.0,61.85,11 - Brčko Distrikt,,,,,,,,,,
53,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,1. 2. 2022.,OTP,,1832.0,IBN-SINA PZU Ogranak 22 KOLOBARA Brčko (A23),M.Ibrahimbegovića bb,76000.0,,BRČKO,,5.0,61.85,11 - Brčko Distrikt,,,,,,,,,,
56,Dorzol 20mg/ml kapi za oči 5ml,1. 2. 2022.,OTP,,1793.0,PHOENIX Pharma d.o.o. Bijeljina,"Donja Ljeljenča 015b, Ljeljenča-Bijeljina",76300.0,,BIJELJINA,,50.0,511.0,12 - RS,,,,,,,,,,
57,Dorzol 20mg/ml kapi za oči 5ml,31. 1. 2022.,OTP,,1736.0,"Z.U. ""APOTEKA BELLADONNA"" Trebinje",PREOBRAŽENSKA 16,89000.0,,TREBINJE,,3.0,30.66,12 - RS,,,,,,,,,,
58,Dorzol 20mg/ml kapi za oči 5ml,31. 1. 2022.,OTP,,1771.0,Interpromet d.o.o.,Kulska obala bb,79220.0,,NOVI GRAD,,400.0,4088.0,12 - RS,,,,,,,,,,
59,Dorzol 20mg/ml kapi za oči 5ml,1. 2. 2022.,OTP,,1883.0,ICM Bijeljina,Donja Ljeljenča 45,76300.0,,BIJELJINA,,100.0,1022.0,12 - RS,,,,,,,,,,
60,Dorzol 20mg/ml kapi za oči 5ml,1. 2. 2022.,OTP,,1795.0,PHOENIX Pharma d.o.o. Bijeljina,"Donja Ljeljenča 015b, Ljeljenča-Bijeljina",76300.0,,BIJELJINA,,50.0,511.0,12 - RS,,,,,,,,,,
61,Dorzol 20mg/ml kapi za oči 5ml,31. 1. 2022.,OTP,,1700.0,"ZU ""Apoteke PROFARM"" Gradiška",Ulica Zaharija Orfelina br.5 GRADIŠKA,78400.0,,BOSANSKA GRADIŠKA/GRADIŠKA,,80.0,817.6,12 - RS,,,,,,,,,,
62,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,1. 2. 2022.,OTP,,1883.0,ICM Bijeljina,Donja Ljeljenča 45,76300.0,,BIJELJINA,,30.0,371.1,12 - RS,,,,,,,,,,
63,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,31. 1. 2022.,OTP,,1771.0,Interpromet d.o.o.,Kulska obala bb,79220.0,,NOVI GRAD,,150.0,1855.5,12 - RS,,,,,,,,,,
1,Dorzol 20mg/ml kapi za oči 5ml,8.2.2022,OTP,,2223.0,"PZU Apoteka ""Alma"" Tuzla Ogranak Super apoteka 2",Šićki Brod TC Bingo,75000.0,,TUZLA,,1.0,10.22,03 - Tuzlanski Kanton,,,,,,,,,,
2,Dorzol 20mg/ml kapi za oči 5ml,8.2.2022,OTP,,2159.0,"IBN-SINA PZU Ogranak 16, Živinice (A17)","Alije Izetbegovića bb, Živinice",75270.0,,ŽIVINICE,,2.0,20.44,03 - Tuzlanski Kanton,,,,,,,,,,
3,Dorzol 20mg/ml kapi za oči 5ml,8.2.2022,OTP,,2153.0,"IBN-SINA PZU Ogranak 10 Stupine, Tuzla (A11)","Stupine B2, Tuzla",75000.0,,TUZLA,,1.0,10.22,03 - Tuzlanski Kanton,,,,,,,,,,
4,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,8.2.2022,OTP,,2162.0,"IBN-SINA PZU Ogranak 19, Lukavac (A21)","ul.25. Novembra bb, Lukavac",75300.0,,LUKAVAC,,5.0,61.85,03 - Tuzlanski Kanton,,,,,,,,,,
5,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,8.2.2022,OTP,,2158.0,IBN-SINA PZU Ogranak 14 Srebrenik (A15),Zlatnih Ljiljana bb ZTC-II,75350.0,,SREBRENIK,,5.0,61.85,03 - Tuzlanski Kanton,,,,,,,,,,
6,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,8.2.2022,OTP,,2167.0,IBN-SINA PZU Ogranak 21 Gračanica (A26),"Zanatski centar""Pijaca""bb Gračanica",75320.0,,GRAČANICA,,10.0,123.7,03 - Tuzlanski Kanton,,,,,,,,,,
7,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,8.2.2022,OTP,,2171.0,IBN-SINA PZU Ogranak br.27 Gradačac (A36),"Josipa Šibera bb, Gradačac",76250.0,,GRADAČAC,,5.0,61.85,03 - Tuzlanski Kanton,,,,,,,,,,
8,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,8.2.2022,OTP,,2169.0,IBN-SINA PZU Ogranak 22 Tuzla (A31),ul. Albina Herljevića br.23 Tuzla,75000.0,,TUZLA,,5.0,61.85,03 - Tuzlanski Kanton,,,,,,,,,,
9,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,8.2.2022,OTP,,2147.0,"IBN-SINA PZU Ogranak 5, Apoteka Srebrenik (A5)",1.Marta bb,75350.0,,SREBRENIK,,15.0,185.55,03 - Tuzlanski Kanton,,,,,,,,,,
10,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,8.2.2022,OTP,,2143.0,IBN-SINA PZU Apoteka Slatina(stara)Tuzla (A3),Albina Hreljevića 4,75000.0,,TUZLA,,20.0,247.4,03 - Tuzlanski Kanton,,,,,,,,,,
11,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,8.2.2022,OTP,,2149.0,"IBN-SINA PZU Ogranak 6, Apoteka Kalesija (A7)","Senada Požegića 19, Kalesija",75260.0,,KALESIJA,,5.0,61.85,03 - Tuzlanski Kanton,,,,,,,,,,
12,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,8.2.2022,OTP,,2138.0,TUZLA-FARM d.o.o.,Rudarska 71,75000.0,,TUZLA,,10.0,123.7,03 - Tuzlanski Kanton,,,,,,,,,,
13,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,8.2.2022,OTP,,2152.0,"IBN-SINA PZU Ogranak 9 IRAC, Tuzla (A10)","Rudarska 55,Tuzla",75000.0,,TUZLA,,3.0,37.11,03 - Tuzlanski Kanton,,,,,,,,,,
14,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,8.2.2022,OTP,,2240.0,"PZU Apoteka ""Alma"" Tuzla Ogranak Super apoteka 5","Ul. II Korpusa BIH bb, TC Merkator Tuzla",75000.0,,TUZLA,,1.0,12.37,03 - Tuzlanski Kanton,,,,,,,,,,
15,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,8.2.2022,OTP,,2223.0,"PZU Apoteka ""Alma"" Tuzla Ogranak Super apoteka 2",Šićki Brod TC Bingo,75000.0,,TUZLA,,1.0,12.37,03 - Tuzlanski Kanton,,,,,,,,,,
16,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,8.2.2022,OTP,,2205.0,PZU Apoteka ADONIS ogr.11 VUČKOVCI,Bajramište br.2,76250.0,,GRADAČAC,,1.0,12.37,03 - Tuzlanski Kanton,,,,,,,,,,
17,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,8.2.2022,OTP,,2246.0,PZU Apoteka ''DUR-FARM'' Sapna,Žrtava genocida u Srebrenici,75411.0,,SAPNA,,10.0,123.7,03 - Tuzlanski Kanton,,,,,,,,,,
18,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,9.2.2022,OTP,,2329.0,"PZU Apoteka ""MEDEX-PHARM"" Banovići-Ogr. 1 Banovići",119 Muslimanske brdske brigade,75290.0,,BANOVIĆI,,10.0,123.7,03 - Tuzlanski Kanton,,,,,,,,,,
19,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,8.2.2022,OTP,,2265.0,Stari grad priv. apoteka Tuzla,Turalibegova 41,75000.0,,TUZLA,,2.0,24.74,03 - Tuzlanski Kanton,,,,,,,,,,
20,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,8.2.2022,OTP,,2260.0,PZU Eurofarm Edal apoteka 2 Tuzla,Tržni centar,75000.0,,TUZLA,,2.0,24.74,03 - Tuzlanski Kanton,,,,,,,,,,
21,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,8.2.2022,OTP,,2178.0,"IBN-SINA PZU Ogranak 15, Slatina nova, Apoteka Tuzla (A16)","Albina Herljevića 8, Tuzla",75000.0,,TUZLA,,5.0,61.85,03 - Tuzlanski Kanton,,,,,,,,,,
22,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,8.2.2022,OTP,,2177.0,IBN-SINA PZU Ogranak BUKINJE (A38),Bukinjska br.190,75000.0,,TUZLA,,10.0,123.7,03 - Tuzlanski Kanton,,,,,,,,,,
23,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,8.2.2022,OTP,,2174.0,IBN-SINA PZU Ogranak br.28 Živinice (A37),Alije Izetbegovića br.18,75270.0,,ŽIVINICE,,6.0,74.22,03 - Tuzlanski Kanton,,,,,,,,,,
24,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,8.2.2022,OTP,,2178.0,"IBN-SINA PZU Ogranak 15, Slatina nova, Apoteka Tuzla (A16)","Albina Herljevića 8, Tuzla",75000.0,,TUZLA,,5.0,61.85,03 - Tuzlanski Kanton,,,,,,,,,,
25,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,8.2.2022,OTP,,2198.0,PZU Apoteka ADONIS ogr.1 KALESIJA,ul.Trg šehida bb,75260.0,,KALESIJA,,3.0,37.11,03 - Tuzlanski Kanton,,,,,,,,,,
26,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,8.2.2022,OTP,,2197.0,PZU Apoteka ADONIS ogr.5 GRADAČAC,Josipa Šibera bb,76250.0,,GRADAČAC,,10.0,123.7,03 - Tuzlanski Kanton,,,,,,,,,,
27,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,8.2.2022,OTP,,2178.0,"IBN-SINA PZU Ogranak 15, Slatina nova, Apoteka Tuzla (A16)","Albina Herljevića 8, Tuzla",75000.0,,TUZLA,,2.0,24.74,03 - Tuzlanski Kanton,,,,,,,,,,
30,Dorzol 20mg/ml kapi za oči 5ml,7.2.2022,OTP,,2093.0,PZU Apoteka Avicena Visoko,Ulica Branilaca 41,71300.0,,VISOKO,,2.0,20.44,04 - ZE-DO Kanton,,,,,,,,,,
31,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,7.2.2022,OTP,,2065.0,MGM FARM d.o.o. Kakanj,311. Lahke brigade br.97,72240.0,,KAKANJ,,20.0,247.4,04 - ZE-DO Kanton,,,,,,,,,,
32,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,10.2.2022,OTP,,2381.0,"PZU Apoteka ""PHARMACIA'' PJ Crkvice",Crkvice 46,72000.0,,ZENICA,,10.0,115.2,04 - ZE-DO Kanton,,,,,,,,,,
33,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,7.2.2022,OTP,,2072.0,J.U. Apoteka Zdravlje-ogr.Mr. WEISS,Adolfa Goldbergera 6,72000.0,,ZENICA,,5.0,61.85,04 - ZE-DO Kanton,,,,,,,,,,
34,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,7.2.2022,OTP,,2089.0,"PZU Apoteka ""PHARMACIA"" PLUS Zenica",Trg Alije Izetbegovića bb,72000.0,,ZENICA,,5.0,57.6,04 - ZE-DO Kanton,,,,,,,,,,
35,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,7.2.2022,OTP,,2088.0,"PZU Apoteka ""PHARMACIA"" PLUS Zenica",Trg Alije Izetbegovića bb,72000.0,,ZENICA,,3.0,37.11,04 - ZE-DO Kanton,,,,,,,,,,
38,Dorzol 20mg/ml kapi za oči 5ml,9.2.2022,OTP,,2304.0,Hercegovinalijek d.o.o.,Muje Pašića 4,88000.0,,MOSTAR,,100.0,1022.0,07 - Hercegovačko-Neretvanski kanton,,,,,,,,,,
39,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,11.2.2022,OTP,,2459.0,LUPRIV PLUS Mostar ogr.5,Stjepana Radića 37,88000.0,,MOSTAR,,2.0,24.74,07 - Hercegovačko-Neretvanski kanton,,,,,,,,,,
40,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,11.2.2022,OTP,,2441.0,LUPRIV PHARM Mostar ogr.2,Kneza Višeslava 77B,88000.0,,MOSTAR,,6.0,74.22,07 - Hercegovačko-Neretvanski kanton,,,,,,,,,,
41,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,11.2.2022,OTP,,2443.0,LUPRIV PHARM Mostar ogr.5,Potoci 56,88000.0,,MOSTAR,,3.0,37.11,07 - Hercegovačko-Neretvanski kanton,,,,,,,,,,
42,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,11.2.2022,OTP,,2398.0,Hercegovinalijek d.o.o.,Muje Pašića 4,88000.0,,MOSTAR,,160.0,1979.2,07 - Hercegovačko-Neretvanski kanton,,,,,,,,,,
43,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,9.2.2022,OTP,,2304.0,Hercegovinalijek d.o.o.,Muje Pašića 4,88000.0,,MOSTAR,,30.0,371.1,07 - Hercegovačko-Neretvanski kanton,,,,,,,,,,
44,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,8.2.2022,OTP,,2125.0,Hercegovinalijek d.o.o.,Muje Pašića 4,88000.0,,MOSTAR,,30.0,371.1,07 - Hercegovačko-Neretvanski kanton,,,,,,,,,,
47,Dorzol 20mg/ml kapi za oči 5ml,9.2.2022,OTP,,2308.0,Z.U. LJEKARNE ČOLAK Široki Brijeg-ogr.1,dr.Jure Grubišića 9,88220.0,,ŠIROKI BRIJEG,,2.0,20.44,08 - Zapadnohercegovački kanton,,,,,,,,,,
48,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,9.2.2022,OTP,,2308.0,Z.U. LJEKARNE ČOLAK Široki Brijeg-ogr.1,dr.Jure Grubišića 9,88220.0,,ŠIROKI BRIJEG,,10.0,123.7,08 - Zapadnohercegovački kanton,,,,,,,,,,
49,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,11.2.2022,OTP,,2421.0,"Ljekarnička ustanova ""Marija"" Široki Brijeg",Fra Didaka Buntića bb,88220.0,,ŠIROKI BRIJEG,,5.0,61.85,08 - Zapadnohercegovački kanton,,,,,,,,,,
52,Dorzol 20mg/ml kapi za oči 5ml,11.2.2022,OTP,,2392.0,"PZU ""AP"" Apoteke Sarajevo",Trg Solidarnosti 39,71000.0,,SARAJEVO,,10.0,102.2,09 - Sarajevski Kanton,,,,,,,,,,
53,Dorzol 20mg/ml kapi za oči 5ml,7.2.2022,OTP,,2042.0,"PZU ""AP"" Apoteke Sarajevo",Trg Solidarnosti 39,71000.0,,SARAJEVO,,1.0,10.22,09 - Sarajevski Kanton,,,,,,,,,,
54,Dorzol 20mg/ml kapi za oči 5ml,7.2.2022,OTP,,2042.0,"PZU ""AP"" Apoteke Sarajevo",Trg Solidarnosti 39,71000.0,,SARAJEVO,,9.0,91.98,09 - Sarajevski Kanton,,,,,,,,,,
55,Dorzol 20mg/ml kapi za oči 5ml,7.2.2022,OTP,,2057.0,Apoteka Shoping Sarajevo,Hasana Brkića 14,71000.0,,SARAJEVO,,5.0,51.1,09 - Sarajevski Kanton,,,,,,,,,,
56,Dorzol 20mg/ml kapi za oči 5ml,7.2.2022,OTP,,2060.0,"PZU Apoteka ""DUOPHARM"" Sarajevo-ILIJAŠ",Bosanski put bb,71380.0,,ILIJAŠ,,10.0,102.2,09 - Sarajevski Kanton,,,,,,,,,,
57,Dorzol 20mg/ml kapi za oči 5ml,8.2.2022,OTP,,2179.0,Privatna apoteka ''Oaza zdravlja'' Sarajevo- Dobrinja II,Esada Pašalića br.10,71000.0,,SARAJEVO,,30.0,306.6,09 - Sarajevski Kanton,,,,,,,,,,
